File Name,Size,Average Correlation,Normalised Outliers,Accuracy,,,,
adult,32561,0.060332024528096,0.079706806711506,DTree(80.71619990033163),GNB(79.52765985700117),LogReg(79.37101793389218),KNN(77.66039269033281),SVC(0.0)
breast-cancer-wisconsin,699,0.601652223586454,0.052614846606263,KNN(96.78183292781833),LogReg(96.34820221681537),GNB(95.90592051905921),SVC(95.03217085698837),DTree(93.4155177074885)
wine,178,0.304957481350349,0.009075194468453,LogReg(96.15615615615616),GNB(95.58386958386957),DTree(84.30850177909001),KNN(68.60213995508111),SVC(42.77298306710072)
bank-full,45211,0.04133051611221,0.062307845435845,LogReg(87.58248908049919),KNN(87.25075275343463),GNB(79.13015120834845),DTree(56.24872880824764),SVC(0.0)
winequality-white,4898,0.178266246729611,0.01980400163332,LogReg(51.65733613758443),SVC(43.89765657674863),GNB(43.464935949051764),DTree(41.59177955717286),KNN(39.690566232308946)
diabetes,768,0.171656788970926,0.023763020833333,LogReg(0.0),KNN(0.0),GNB(0.0),DTree(0.0),SVC(0.0)
iris,150,0.589815720615102,0.006666666666667,SVC(98.00000000000001),KNN(97.33333333333334),LogReg(96.00000000000001),DTree(96.00000000000001),GNB(95.33333333333334)
processed_cleveland_heart_disease,303,0.157295553251269,0.027418126428028,LogReg(58.916228326514705),GNB(55.916228326514705),SVC(53.881940385739334),KNN(49.830118838885646),DTree(49.51431911163063)
car,1728,NULL,NULL,Dtree(79.407514450867),SVC(76.9821212528566),LogReg(65.5125016803334),KNN(64.3070305148542),GNB(60.5881166823498)
